Name,Team,Swimmer_ID,hometown,Starting season,Power_Index,FR,Events-FR,Freshman_PPE,SO,Events-SO,Sophomore_ppe,JR,Events-JR,Junior_ppe,SR,Events-SR,Senior_ppe,Total_Points,Total_Events,Total_ppe
Paul Reed,University of Pittsburgh,466257,VA,23,100.00,23,3,7.666666666666667,,,0,,,0,,,0,23,3,7.666666666666667
Dominic Toledo Sanchez,University of Pittsburgh,422486,TX,23,17.81,0,3,0.0,,,0,,,0,,,0,0,3,0.0
COOPER VAN DER LAAN,University of Pittsburgh,938100,AUS,22,-1,,,0,40,3,13.333333333333334,,,0,,,0,40,3,13.333333333333334
Jack Watson,University of Pittsburgh,412578,NJ,23,23.79,,,0,,,0,,,0,,,0,0,0,0
Jonathan Buerger,University of Virginia,88345,PA,15,2.23,,,0,,,0,16,3,5.333333333333333,,,0,16,3,5.333333333333333
Carl Buergler,University of Virginia,79668,VA,16,100.00,,,0,31,3,10.333333333333334,32,3,10.666666666666666,63,3,21.0,126,9,14.0
Zach Bunner,University of Virginia,121580,GA,14,2.06,,,0,,,0,,,0,29,4,7.25,29,4,7.25
Parker Camp,University of Virginia,84559,TN,15,2.77,,,0,,,0,13,2,6.5,,,0,13,2,6.5
Fred Crawford,University of Virginia,114449,IL,15,7.41,,,0,,,0,,,0,,,0,0,0,0
Jan Daniec,University of Virginia,152251,CA,15,-1,,,0,,,0,47,3,15.666666666666666,,,0,47,3,15.666666666666666
John Denning,University of Virginia,179979,VA,17,5.32,,,0,3,3,1.0,,,0,,,0,3,3,1.0
Kyle Dudzinski,University of Virginia,58398,PA,16,2.72,,,0,56,4,14.0,,,0,,,0,56,4,14.0
Gabriel Espinosa,University of Virginia,123383,AZ,14,2.92,,,0,,,0,,,0,,,0,0,0,0
Rodney Fentress,University of Virginia,157357,VA,16,3.20,,,0,12,3,4.0,6,3,2.0,,,0,18,6,3.0
Serge Gould,University of Virginia,114076,MD,15,9.36,,,0,,,0,19,3,6.333333333333333,,,0,19,3,6.333333333333333
Taylor Grey,University of Virginia,39709,VT,15,10.73,,,0,,,0,46,3,15.333333333333334,,,0,46,3,15.333333333333334
Nathaniel Hart,University of Virginia,157808,NC,15,1.72,,,0,,,0,37,3,12.333333333333334,,,0,37,3,12.333333333333334
Eric Holden,University of Virginia,165958,CT,16,2.92,,,0,,,0,4,3,1.3333333333333333,11,4,2.75,15,7,2.142857142857143
David Ingraham,University of Virginia,86308,SC,15,2.65,,,0,,,0,69,3,23.0,,,0,69,3,23.0
Yannick Kaeser,University of Virginia,248268,CHE,16,100.00,,,0,56,3,18.666666666666668,43,3,14.333333333333334,54,3,18.0,153,9,17.0
Jakob Kolod,University of Virginia,117876,PA,15,100.00,,,0,,,0,71,3,23.666666666666668,82,3,27.333333333333332,153,6,25.5
Robert Leasure,University of Virginia,148918,KY,17,4.31,,,0,,,0,,,0,,,0,0,0,0
Matthew Lockman,University of Virginia,184630,VA,17,4.86,2,3,0.6666666666666666,5,3,1.6666666666666667,13,3,4.333333333333333,38,3,12.666666666666666,58,12,4.833333333333333
Barrett Mangold,University of Virginia,177640,MD,14,5.36,,,0,,,0,,,0,,,0,0,0,0
Matheus Martini,University of Virginia,176984,FL,16,3.17,,,0,,,0,,,0,,,0,0,0,0
John Murfee,University of Virginia,136650,TN,15,12.15,,,0,,,0,38,4,9.5,,,0,38,4,9.5
Luke Papendick,University of Virginia,36072,NJ,17,1.53,81,3,27.0,,,0,,,0,,,0,81,3,27.0
Jacob Pearce,University of Virginia,88199,OK,15,2.43,,,0,,,0,18,3,6.0,5,3,1.6666666666666667,23,6,3.8333333333333335
Bradley Phillips,University of Virginia,65725,MD,15,3.23,,,0,,,0,74,3,24.666666666666668,,,0,74,3,24.666666666666668
Charles Putnam,University of Virginia,102550,VA,15,-1,,,0,,,0,,,0,2,3,0.6666666666666666,2,3,0.6666666666666666
Austin Quinn,University of Virginia,158950,OH,17,1.63,26,3,8.666666666666666,66,4,16.5,42,6,7.0,37,3,12.333333333333334,171,16,10.6875
