Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Hassler Carroll,Virginia Tech,7,3,4,3,0,3,,,11
Brandon Fabian,Virginia Tech,,,,,,,,,0
David Herbert,Virginia Tech,,,13,3,1,1,,,14
Jacob Lamparella,Virginia Tech,,,19,4,3,4,28,4,50
Colin Murphy,Virginia Tech,,,0,3,,,,,0
Nicholas Olson,Virginia Tech,,,,,,,,,0
Cooper Pitts,Virginia Tech,,,,,,,,,0
Nicholas Schwegel,Virginia Tech,,,,,,,,,0
Simon Shi,Virginia Tech,,,0,3,11,3,13,3,24
Connor Doyle,Virginia Tech,,,,,0,3,,,0
Collin Fiala,Virginia Tech,,,,,,,,,0
Gershwin Greene,Virginia Tech,,,,,,,,,0
Thomas Hallock,Virginia Tech,0,3,12,3,48,3,,,60
Alexander McMurry,Virginia Tech,,,,,,,,,0
Lasse Pittioni,Virginia Tech,,,6,3,,,,,6
Lane Stone,Virginia Tech,61,3,76,3,64,3,,,201
Samuel Tornqvist,Virginia Tech,40,3,73,4,67,3,,,180
Ethan Apisa,Virginia Tech,,,,,,,,,0
Henry Claesson,Virginia Tech,0,3,0,3,,,,,0
Brennan Doss,Virginia Tech,14,3,24,3,,,,,38
Dylan Eichberg,Virginia Tech,,,27,3,,,,,27
Benjamin Hicks,Virginia Tech,,,,,,,,,0
Alexander Hines,Virginia Tech,,,,,,,,,0
Antani Ivanov,Virginia Tech,53,3,73,3,,,,,126
Philip Manoff,Virginia Tech,28,3,54,5,,,,,82
Filippo maso,Virginia Tech,43,3,56,3,,,,,99
Keith Myburgh,Virginia Tech,29,3,37,3,,,,,66
Justin Rich,Virginia Tech,,,,,,,,,0
Alexander Wright,Virginia Tech,0,3,,,,,,,0
Noah Zawadzki,Virginia Tech,49,3,60,3,,,,,109
Hunter Cassady,Virginia Tech,,,,,,,,,0
Jaedin Clark,Virginia Tech,,,,,,,,,0
Taj Cole,Virginia Tech,7,3,,,,,,,7
Noah Desman,Virginia Tech,,,,,,,,,0
William Koeppen,Virginia Tech,8,3,,,,,,,8
Cobi Lopez Miro,Virginia Tech,3,3,,,,,,,3
Joseph Perreault,Virginia Tech,18,3,,,,,,,18
Ananias Pouch,Virginia Tech,53,3,,,,,,,53
Ryan Vipavetz,Virginia Tech,0,3,,,,,,,0
Forest Webb,Virginia Tech,35,4,,,,,,,35
Estefan Albiero,University of Louisville,,,,,,,,,0
Brennen Berger,University of Louisville,,,,,23,3,28,3,51
Sam Blair,University of Louisville,,,,,,,,,0
Caryle Blondell,University of Louisville,,,,,,,22,3,22
David Boland,University of Louisville,,,25,3,42,3,34,3,101
Nathaniel Bond,University of Louisville,,,,,,,,,0
Victor Borduchi,University of Louisville,,,,,,,,,0
Addison Bray,University of Louisville,,,,,,,55,3,55
Joe Brown,University of Louisville,,,,,,,,,0
Trevor Carroll,University of Louisville,,,74,3,78,4,71,3,223
Kameron Chastain,University of Louisville,,,,,,,,,0
Pedro Coutinho,University of Louisville,,,,,33,3,27,3,60
Thomas Dahlia,University of Louisville,,,,,,,79,3,79
Joao De Lucca,University of Louisville,,,,,,,,,0
Bryan Draganosky,University of Louisville,,,,,37,3,,,37
Rudy Edelen,University of Louisville,,,,,,,38,3,38
Christian Garkani,University of Louisville,,,,,,,,,0
Aaron Greene,University of Louisville,,,51,3,39,3,39,3,129
Murilo Gustineli,University of Louisville,,,,,,,,,0
Nicholas Hasemann,University of Louisville,,,,,2,3,,,2
Ruben Izarra,University of Louisville,,,,,,,,,0
Matthias Lindenbauer,University of Louisville,,,62,3,53,3,62,3,177
Lemar Linton,University of Louisville,,,,,,,,,0
Juan Lopez,University of Louisville,,,,,,,,,0
Brett Mackenzie,University of Louisville,,,,,,,,,0
Ryan Massey,University of Louisville,,,,,47,3,9,3,56
Evan Noble,University of Louisville,,,,,,,,,0
Neil O'Halloran,University of Louisville,,,,,,,,,0
Sean Piner,University of Louisville,,,,,20,3,31,3,51
Joshua Quallen,University of Louisville,,,68,3,65,3,70,3,203
Matthew Ryan,University of Louisville,,,,,,,,,0
William Schultz,University of Louisville,,,,,,,,,0
Nolan Smith,University of Louisville,,,,,,,,,0
Grigory Tarasevich,University of Louisville,,,60,4,73,4,84,4,217
Nolan Tesone,University of Louisville,,,,,75,3,77,3,152
Dexter Thomas,University of Louisville,,,,,,,,,0
Mihael Vukic,University of Louisville,,,,,,,,,0
Brooks Wilmoth,University of Louisville,,,,,,,,,0
Kevin Wilmoth,University of Louisville,,,,,,,,,0
Aaron Young,University of Louisville,,,,,,,61,3,61
Marcelo Acosta,University of Louisville,,,,,,,61,3,61
Ryan Bohn,University of Louisville,,,,,,,,,0
Carlos Claverie,University of Louisville,53,3,78,3,66,3,79,3,276
Clayton Helsley,University of Louisville,,,,,,,,,0
Todd Owen,University of Louisville,38,3,15,3,,,3,2,56
Jonathan Zoucha,University of Louisville,,,32,3,23,3,31,3,86
Abel Aulbach,University of Louisville,,,,,0,3,,,0
Jacob DeMercurio,University of Louisville,,,,,,,,,0
Daniel Fecteau,University of Louisville,6,3,41,3,24,3,62,3,133
Zach Harting,University of Louisville,73,3,77,3,70,3,67,3,287
Troy Holder,University of Louisville,,,,,,,,,0
Mate Kovacs,University of Louisville,,,,,11,3,1,3,12
Andrej Barna,University of Louisville,40,3,73,3,65,3,65,3,243
Graham Barrett,University of Louisville,,,11,3,13,3,,,24
Mark Chernov,University of Louisville,,,,,,,,,0
Evan Cooper,University of Louisville,,,,,,,,,0
Keegan Foulke,University of Louisville,43,3,16,3,14,3,,,73
Etay Gurevich,University of Louisville,42,3,73,3,,,,,115
Jarrett Jones,University of Louisville,44,3,52,3,22,3,25,3,143
Sean Riley,University of Louisville,2,3,,,,,,,2
Derek Sander,University of Louisville,,,,,,,,,0
Samuel Steele,University of Louisville,,,30,3,19,3,13,3,62
Nicolas Albiero,University of Louisville,87,5,86,6,91,5,,,264
Spencer Carl,University of Louisville,,,,,,,,,0
Joseph Hampel,University of Louisville,,,,,,,,,0
Daniel Pinto,University of Louisville,14,3,42,3,52,3,,,108
Anderson Sellers,University of Louisville,,,,,,,,,0
Theodore Smith,University of Louisville,41,3,18,3,16,3,,,75
Nikolaos SOFIANIDIS,University of Louisville,53,3,48,3,42,3,,,143
Evgenii SOMOV,University of Louisville,80,3,67,3,90,3,,,237
Daniel SOS,University of Louisville,67,3,54,3,56,3,,,177
Santiago Aguilera,University of Louisville,,,,,,,,,0
Tanner Cummings,University of Louisville,,,11,3,,,,,11
Hayden Curley,University of Louisville,24,3,35,3,,,,,59
Mihalis Deliyiannis,University of Louisville,,,,,28,3,,,28
Michael Eastman,University of Louisville,,,27,3,,,,,27
Kivanc Gur,University of Louisville,19,3,30,3,,,,,49
Griffin Manning,University of Louisville,,,,,,,,,0
Colton Paulson,University of Louisville,50,3,65,3,,,,,115
Bartosz Piszczorowicz,University of Louisville,46,3,,,,,,,46
Jack Wever,University of Louisville,,,,,,,,,0
Mitchell Whyte,University of Louisville,63,3,69,3,,,,,132
Kyle Worrell,University of Louisville,,,,,,,,,0
Greyson Alarcon,University of Louisville,,,,,,,,,0
Caleb Duncan,University of Louisville,,,,,,,,,0
Sky Geovanni,University of Louisville,9,3,,,,,,,9
Jeremiah Holmes,University of Louisville,,,,,,,,,0
Neal Morsi,University of Louisville,,,,,,,,,0
Sasha Palazzo,University of Louisville,,,,,,,17,3,17
Aaron Parrott,University of Louisville,,,,,,,,,0
Abdelrahman SAMEH,University of Louisville,65,3,,,,,,,65
ILIA SIBIRTSEV,University of Louisville,,,,,,,,,0
Logan Smith,University of Louisville,,,,,,,,,0
Adam Sneden,University of Louisville,13,3,,,,,,,13
