Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Spencer Johnston,Georgia Institute of Technology,,,,,,,,,0
Dylan Kase,Georgia Institute of Technology,,,,,,,,,0
Michael Kenny,Georgia Institute of Technology,,,6,3,8,3,13,3,27
Andrew Kosic,Georgia Institute of Technology,,,,,62,4,81,4,143
Anton Lagerqvist,Georgia Institute of Technology,,,,,10,3,,,10
Nicholas Lamontagne,Georgia Institute of Technology,,,,,,,,,0
Richard Lehner,Georgia Institute of Technology,,,16,3,22,3,23,3,61
Andreas Nilsson,Georgia Institute of Technology,,,,,0,3,,,0
Declan Poorman,Georgia Institute of Technology,,,,,,,14,3,14
Yuval Safra,Georgia Institute of Technology,18,3,55,3,47,3,,,120
Ryan Salmon,Georgia Institute of Technology,,,,,0,3,,,0
Mark Sarman,Georgia Institute of Technology,,,,,11,2,28,3,39
Kevin Smith,Georgia Institute of Technology,,,,,,,,,0
Benjamin Southern,Georgia Institute of Technology,17,3,15,3,23,3,47,3,102
Shu-tao Wei,Georgia Institute of Technology,,,,,,,,,0
Mats Westergren,Georgia Institute of Technology,,,14,3,0,3,0,3,14
Taylor Wilson,Georgia Institute of Technology,,,0,4,0,4,,,0
Manuel Barragan,Georgia Institute of Technology,,,,,,,,,0
Dan Cohen Solal,Georgia Institute of Technology,,,0,3,0,3,,,0
Youssef Hammoud,Georgia Institute of Technology,,,,,32,3,64,3,96
Noah Harasz,Georgia Institute of Technology,20,3,17,3,0,3,0,3,37
Mark Keaveney,Georgia Institute of Technology,3,4,13,3,,,,,16
Alexander Kimpel,Georgia Institute of Technology,,,37,3,33,3,4,3,74
Stefan Kranenburg,Georgia Institute of Technology,,,,,0,3,,,0
Moises Loschi,Georgia Institute of Technology,16,4,55,3,51,3,48,3,170
William Oberg,Georgia Institute of Technology,8,5,24,3,11,3,6,3,49
Brian Woodbury,Georgia Institute of Technology,9,4,7,4,0,3,,,16
Matthew Casillas,Georgia Institute of Technology,39,3,47,3,48,3,52,3,186
Rodrigo Correia,Georgia Institute of Technology,,,,,,,,,0
Alexander Goerzen,Georgia Institute of Technology,,,,,,,24,3,24
Nolan Mallet,Georgia Institute of Technology,6,3,7,3,0,1,14,3,27
Joseph Portillo,Georgia Institute of Technology,,,4,3,0,3,4,3,8
Colton Williamson,Georgia Institute of Technology,32,3,33,3,43,3,24,3,132
Edwin Zhao,Georgia Institute of Technology,,,,,,,,,0
Brennan Day,Georgia Institute of Technology,4,3,5,3,0,3,1,3,10
Clayton Hering,Georgia Institute of Technology,0,2,9,3,3,3,9,3,21
Joonas Koski,Georgia Institute of Technology,,,11,3,11,3,18,3,40
Aidan Pastel,Georgia Institute of Technology,,,,,,,,,0
Tim Slanschek,Georgia Institute of Technology,24,3,16,3,14,3,16,4,70
Quientin Talley,Georgia Institute of Technology,,,,,,,,,0
Austin Whalen,Georgia Institute of Technology,,,,,,,,,0
Oskar Zimowski,Georgia Institute of Technology,,,,,,,,,0
Aidan Brook,Georgia Institute of Technology,,,,,,,,,0
Henry Carman,Georgia Institute of Technology,,,,,,,,,0
Austin Daniel,Georgia Institute of Technology,,,0,3,0,2,,,0
Christian Ferraro,Georgia Institute of Technology,38,3,17,2,41,3,,,96
Jacob Kreider,Georgia Institute of Technology,8,3,15,3,0,1,,,23
Corben Miles,Georgia Institute of Technology,0,3,6,3,7,1,,,13
Jeffrey Murray,Georgia Institute of Technology,,,,,,,,,0
Caio PUMPUTIS,Georgia Institute of Technology,57,3,92,4,71,4,,,220
Franco Reyes,Georgia Institute of Technology,0,3,,,,,,,0
Jonathan Vater,Georgia Institute of Technology,,,,,,,,,0
Davis Waln,Georgia Institute of Technology,,,,,,,,,0
Leon Warnakulasuriya,Georgia Institute of Technology,,,,,,,,,0
Jonathan Yang,Georgia Institute of Technology,1,2,,,3,3,,,4
Qian Zhi,Georgia Institute of Technology,0,3,,,0,3,,,0
Kyle Barone,Georgia Institute of Technology,23,4,42,5,,,,,65
Tyler Branscombe,Georgia Institute of Technology,,,,,,,,,0
Tanner Doan,Georgia Institute of Technology,0,4,0,3,,,,,0
Daniel Jacobs,Georgia Institute of Technology,0,3,1,3,,,,,1
Darren LIM,Georgia Institute of Technology,4,3,3,3,,,,,7
Gabriel Munoz,Georgia Institute of Technology,,,,,,,,,0
Cale Russell,Georgia Institute of Technology,5,3,14,3,,,,,19
Clark Wakeland,Georgia Institute of Technology,0,3,,,,,,,0
Austin Carroll,Georgia Institute of Technology,,,,,,,,,0
Josh Cohen,Georgia Institute of Technology,0,4,,,,,,,0
Jackson Harvin,Georgia Institute of Technology,,,,,,,,,0
Daniel Kertesz,Georgia Institute of Technology,14,3,,,,,,,14
Ruben Lechuga,Georgia Institute of Technology,46,3,,,,,,,46
Dylan Scott,Georgia Institute of Technology,14,3,,,,,,,14
Samuel Wichter,Georgia Institute of Technology,,,,,,,,,0
Simonas Bilis,North Carolina State University,,,86,3,96,3,88,3,270
Ian Bishop,North Carolina State University,,,,,61,3,,,61
Jonathan Boffa,North Carolina State University,,,,,78,3,,,78
Michael Camper,North Carolina State University,,,,,58,3,,,58
Geoffrey Carter,North Carolina State University,,,,,,,,,0
Stephen Coetzer,North Carolina State University,,,,,78,3,73,3,151
Soeren Dahl,North Carolina State University,46,3,75,4,83,3,85,3,289
Jason Deana,North Carolina State University,,,22,3,27,3,30,3,79
Alexander Hamilton,North Carolina State University,,,10,3,25,3,,,35
Chad Harrington,North Carolina State University,,,,,,,,,0
Derek Hren,North Carolina State University,7,3,43,3,48,3,47,3,145
Michael Hurdle,North Carolina State University,,,,,,,,,0
Scott Johnson,North Carolina State University,27,3,8,3,29,3,53,3,117
Adam Linker,North Carolina State University,32,3,54,3,67,3,77,3,230
Maximus Litvinov,North Carolina State University,,,,,,,,,0
Jacob Matysek,North Carolina State University,,,,,,,,,0
Christian McCurdy,North Carolina State University,,,87,3,82,3,79,3,248
Roger Miesfeld,North Carolina State University,,,,,33,3,,,33
